Subject,Injury,Biome_SampleID,Collect_Time,alpha_diversity,Week,PctOptimal,PctPremature,OptimalBase,PrematureBase
3,Sham,Martens-74-HFD3-60,D60,4.230962079,9,1.190432756,9.020942347,21.24257636,8.000449204
3,Sham,Martens-74-HFD3-60,D60,4.230962079,5,8.835859921,14.5630342,21.24257636,8.000449204
3,Sham,Martens-74-HFD3-60,D60,4.230962079,7,0.327868852,8.89288636,21.24257636,8.000449204
3,Sham,Martens-74-HFD3-60,D60,4.230962079,3,27.19210844,13.46034952,21.24257636,8.000449204
3,Sham,Martens-74-HFD3-60,D60,4.230962079,4,13.74036836,15.85451684,21.24257636,8.000449204
3,Sham,Martens-74-HFD3-60,D60,4.230962079,2,23.44788836,13.32214333,21.24257636,8.000449204
5,Sham,Martens-03-HFD5-Pre-surgery,Pre,4.128776187,8,65.96401641,5.051122123,86.97308696,2.947567783
5,Sham,Martens-03-HFD5-Pre-surgery,Pre,4.128776187,9,63.78327028,7.9863983,86.97308696,2.947567783
5,Sham,Martens-03-HFD5-Pre-surgery,Pre,4.128776187,7,66.13912421,4.484659143,86.97308696,2.947567783
5,Sham,Martens-03-HFD5-Pre-surgery,Pre,4.128776187,4,82.66440061,3.054713044,86.97308696,2.947567783
5,Sham,Martens-03-HFD5-Pre-surgery,Pre,4.128776187,5,80.04100402,2.277488199,86.97308696,2.947567783
5,Sham,Martens-03-HFD5-Pre-surgery,Pre,4.128776187,3,79.34984126,5.426786872,86.97308696,2.947567783
5,Sham,Martens-03-HFD5-Pre-surgery,Pre,4.128776187,10,66.82651131,4.397569506,86.97308696,2.947567783
5,Sham,Martens-03-HFD5-Pre-surgery,Pre,4.128776187,6,70.64029758,3.51796609,86.97308696,2.947567783
5,Sham,Martens-03-HFD5-Pre-surgery,Pre,4.128776187,2,82.32531194,0.620050799,86.97308696,2.947567783
5,Sham,Martens-27-HFD5-3,D3,4.053129051,8,65.96401641,5.051122123,86.97308696,2.947567783
5,Sham,Martens-27-HFD5-3,D3,4.053129051,9,63.78327028,7.9863983,86.97308696,2.947567783
5,Sham,Martens-27-HFD5-3,D3,4.053129051,7,66.13912421,4.484659143,86.97308696,2.947567783
5,Sham,Martens-27-HFD5-3,D3,4.053129051,4,82.66440061,3.054713044,86.97308696,2.947567783
5,Sham,Martens-27-HFD5-3,D3,4.053129051,5,80.04100402,2.277488199,86.97308696,2.947567783
5,Sham,Martens-27-HFD5-3,D3,4.053129051,3,79.34984126,5.426786872,86.97308696,2.947567783
5,Sham,Martens-27-HFD5-3,D3,4.053129051,10,66.82651131,4.397569506,86.97308696,2.947567783
5,Sham,Martens-27-HFD5-3,D3,4.053129051,6,70.64029758,3.51796609,86.97308696,2.947567783
5,Sham,Martens-27-HFD5-3,D3,4.053129051,2,82.32531194,0.620050799,86.97308696,2.947567783
5,Sham,Martens-51-HFD5-30,D30,4.102439117,8,65.96401641,5.051122123,86.97308696,2.947567783
5,Sham,Martens-51-HFD5-30,D30,4.102439117,9,63.78327028,7.9863983,86.97308696,2.947567783
5,Sham,Martens-51-HFD5-30,D30,4.102439117,7,66.13912421,4.484659143,86.97308696,2.947567783
5,Sham,Martens-51-HFD5-30,D30,4.102439117,4,82.66440061,3.054713044,86.97308696,2.947567783
5,Sham,Martens-51-HFD5-30,D30,4.102439117,5,80.04100402,2.277488199,86.97308696,2.947567783
5,Sham,Martens-51-HFD5-30,D30,4.102439117,3,79.34984126,5.426786872,86.97308696,2.947567783
5,Sham,Martens-51-HFD5-30,D30,4.102439117,10,66.82651131,4.397569506,86.97308696,2.947567783
5,Sham,Martens-51-HFD5-30,D30,4.102439117,6,70.64029758,3.51796609,86.97308696,2.947567783
5,Sham,Martens-51-HFD5-30,D30,4.102439117,2,82.32531194,0.620050799,86.97308696,2.947567783
5,Sham,Martens-75-HFD5-60,D60,4.272522341,8,65.96401641,5.051122123,86.97308696,2.947567783
5,Sham,Martens-75-HFD5-60,D60,4.272522341,9,63.78327028,7.9863983,86.97308696,2.947567783
5,Sham,Martens-75-HFD5-60,D60,4.272522341,7,66.13912421,4.484659143,86.97308696,2.947567783
5,Sham,Martens-75-HFD5-60,D60,4.272522341,4,82.66440061,3.054713044,86.97308696,2.947567783
5,Sham,Martens-75-HFD5-60,D60,4.272522341,5,80.04100402,2.277488199,86.97308696,2.947567783
5,Sham,Martens-75-HFD5-60,D60,4.272522341,3,79.34984126,5.426786872,86.97308696,2.947567783
5,Sham,Martens-75-HFD5-60,D60,4.272522341,10,66.82651131,4.397569506,86.97308696,2.947567783
5,Sham,Martens-75-HFD5-60,D60,4.272522341,6,70.64029758,3.51796609,86.97308696,2.947567783
5,Sham,Martens-75-HFD5-60,D60,4.272522341,2,82.32531194,0.620050799,86.97308696,2.947567783
6,TBI,Martens-04-HFD6-Pre-surgery,Pre,3.754060101,7,74.00777695,10.12831344,48.3167027,5.153431319
6,TBI,Martens-04-HFD6-Pre-surgery,Pre,3.754060101,10,82.91129161,9.096032854,48.3167027,5.153431319
6,TBI,Martens-04-HFD6-Pre-surgery,Pre,3.754060101,6,65.62663159,14.33058591,48.3167027,5.153431319
6,TBI,Martens-04-HFD6-Pre-surgery,Pre,3.754060101,2,22.44938885,4.725490768,48.3167027,5.153431319
6,TBI,Martens-04-HFD6-Pre-surgery,Pre,3.754060101,4,66.87805342,19.07434719,48.3167027,5.153431319
6,TBI,Martens-04-HFD6-Pre-surgery,Pre,3.754060101,5,67.22208162,15.70933427,48.3167027,5.153431319
6,TBI,Martens-04-HFD6-Pre-surgery,Pre,3.754060101,9,80.77929541,7.938941183,48.3167027,5.153431319
6,TBI,Martens-04-HFD6-Pre-surgery,Pre,3.754060101,3,41.45000245,19.22635424,48.3167027,5.153431319
6,TBI,Martens-04-HFD6-Pre-surgery,Pre,3.754060101,8,79.07248444,8.137148993,48.3167027,5.153431319
6,TBI,Martens-28-HFD6-3,D3,3.122732435,7,74.00777695,10.12831344,48.3167027,5.153431319
6,TBI,Martens-28-HFD6-3,D3,3.122732435,10,82.91129161,9.096032854,48.3167027,5.153431319
6,TBI,Martens-28-HFD6-3,D3,3.122732435,6,65.62663159,14.33058591,48.3167027,5.153431319
6,TBI,Martens-28-HFD6-3,D3,3.122732435,2,22.44938885,4.725490768,48.3167027,5.153431319
6,TBI,Martens-28-HFD6-3,D3,3.122732435,4,66.87805342,19.07434719,48.3167027,5.153431319
6,TBI,Martens-28-HFD6-3,D3,3.122732435,5,67.22208162,15.70933427,48.3167027,5.153431319
6,TBI,Martens-28-HFD6-3,D3,3.122732435,9,80.77929541,7.938941183,48.3167027,5.153431319
6,TBI,Martens-28-HFD6-3,D3,3.122732435,3,41.45000245,19.22635424,48.3167027,5.153431319
6,TBI,Martens-28-HFD6-3,D3,3.122732435,8,79.07248444,8.137148993,48.3167027,5.153431319
6,TBI,Martens-52-HFD6-30,D30,4.182790035,7,74.00777695,10.12831344,48.3167027,5.153431319
6,TBI,Martens-52-HFD6-30,D30,4.182790035,10,82.91129161,9.096032854,48.3167027,5.153431319
6,TBI,Martens-52-HFD6-30,D30,4.182790035,6,65.62663159,14.33058591,48.3167027,5.153431319
6,TBI,Martens-52-HFD6-30,D30,4.182790035,2,22.44938885,4.725490768,48.3167027,5.153431319
6,TBI,Martens-52-HFD6-30,D30,4.182790035,4,66.87805342,19.07434719,48.3167027,5.153431319
6,TBI,Martens-52-HFD6-30,D30,4.182790035,5,67.22208162,15.70933427,48.3167027,5.153431319
6,TBI,Martens-52-HFD6-30,D30,4.182790035,9,80.77929541,7.938941183,48.3167027,5.153431319
6,TBI,Martens-52-HFD6-30,D30,4.182790035,3,41.45000245,19.22635424,48.3167027,5.153431319
6,TBI,Martens-52-HFD6-30,D30,4.182790035,8,79.07248444,8.137148993,48.3167027,5.153431319
6,TBI,Martens-76-HFD6-60,D60,4.154598847,7,74.00777695,10.12831344,48.3167027,5.153431319
6,TBI,Martens-76-HFD6-60,D60,4.154598847,10,82.91129161,9.096032854,48.3167027,5.153431319
6,TBI,Martens-76-HFD6-60,D60,4.154598847,6,65.62663159,14.33058591,48.3167027,5.153431319
6,TBI,Martens-76-HFD6-60,D60,4.154598847,2,22.44938885,4.725490768,48.3167027,5.153431319
6,TBI,Martens-76-HFD6-60,D60,4.154598847,4,66.87805342,19.07434719,48.3167027,5.153431319
6,TBI,Martens-76-HFD6-60,D60,4.154598847,5,67.22208162,15.70933427,48.3167027,5.153431319
6,TBI,Martens-76-HFD6-60,D60,4.154598847,9,80.77929541,7.938941183,48.3167027,5.153431319
6,TBI,Martens-76-HFD6-60,D60,4.154598847,3,41.45000245,19.22635424,48.3167027,5.153431319
6,TBI,Martens-76-HFD6-60,D60,4.154598847,8,79.07248444,8.137148993,48.3167027,5.153431319
7,Sham,Martens-05-HFD7-Pre-surgery,Pre,4.605392207,10,89.02031173,2.104624765,84.44524192,5.298783889
7,Sham,Martens-05-HFD7-Pre-surgery,Pre,4.605392207,8,93.00134927,4.46106855,84.44524192,5.298783889
7,Sham,Martens-05-HFD7-Pre-surgery,Pre,4.605392207,4,94.77956096,1.42358979,84.44524192,5.298783889
7,Sham,Martens-05-HFD7-Pre-surgery,Pre,4.605392207,9,95.40910247,4.055330027,84.44524192,5.298783889
7,Sham,Martens-05-HFD7-Pre-surgery,Pre,4.605392207,6,95.84156267,4.733960449,84.44524192,5.298783889
7,Sham,Martens-05-HFD7-Pre-surgery,Pre,4.605392207,3,93.66598184,0.664396743,84.44524192,5.298783889
7,Sham,Martens-05-HFD7-Pre-surgery,Pre,4.605392207,7,93.93310947,3.956841819,84.44524192,5.298783889
7,Sham,Martens-05-HFD7-Pre-surgery,Pre,4.605392207,2,89.09065878,0,84.44524192,5.298783889
7,Sham,Martens-05-HFD7-Pre-surgery,Pre,4.605392207,5,93.9730964,3.074908545,84.44524192,5.298783889
7,Sham,Martens-29-HFD7-3,D3,3.949834323,10,89.02031173,2.104624765,84.44524192,5.298783889
7,Sham,Martens-29-HFD7-3,D3,3.949834323,8,93.00134927,4.46106855,84.44524192,5.298783889
7,Sham,Martens-29-HFD7-3,D3,3.949834323,4,94.77956096,1.42358979,84.44524192,5.298783889
7,Sham,Martens-29-HFD7-3,D3,3.949834323,9,95.40910247,4.055330027,84.44524192,5.298783889
7,Sham,Martens-29-HFD7-3,D3,3.949834323,6,95.84156267,4.733960449,84.44524192,5.298783889
7,Sham,Martens-29-HFD7-3,D3,3.949834323,3,93.66598184,0.664396743,84.44524192,5.298783889
7,Sham,Martens-29-HFD7-3,D3,3.949834323,7,93.93310947,3.956841819,84.44524192,5.298783889
7,Sham,Martens-29-HFD7-3,D3,3.949834323,2,89.09065878,0,84.44524192,5.298783889
7,Sham,Martens-29-HFD7-3,D3,3.949834323,5,93.9730964,3.074908545,84.44524192,5.298783889
7,Sham,Martens-53-HFD7-30,D30,4.201738016,10,89.02031173,2.104624765,84.44524192,5.298783889
7,Sham,Martens-53-HFD7-30,D30,4.201738016,8,93.00134927,4.46106855,84.44524192,5.298783889
7,Sham,Martens-53-HFD7-30,D30,4.201738016,4,94.77956096,1.42358979,84.44524192,5.298783889
7,Sham,Martens-53-HFD7-30,D30,4.201738016,9,95.40910247,4.055330027,84.44524192,5.298783889
7,Sham,Martens-53-HFD7-30,D30,4.201738016,6,95.84156267,4.733960449,84.44524192,5.298783889
7,Sham,Martens-53-HFD7-30,D30,4.201738016,3,93.66598184,0.664396743,84.44524192,5.298783889
7,Sham,Martens-53-HFD7-30,D30,4.201738016,7,93.93310947,3.956841819,84.44524192,5.298783889
7,Sham,Martens-53-HFD7-30,D30,4.201738016,2,89.09065878,0,84.44524192,5.298783889
7,Sham,Martens-53-HFD7-30,D30,4.201738016,5,93.9730964,3.074908545,84.44524192,5.298783889
7,Sham,Martens-77-HFD7-60,D60,4.220501651,10,89.02031173,2.104624765,84.44524192,5.298783889
7,Sham,Martens-77-HFD7-60,D60,4.220501651,8,93.00134927,4.46106855,84.44524192,5.298783889
7,Sham,Martens-77-HFD7-60,D60,4.220501651,4,94.77956096,1.42358979,84.44524192,5.298783889
7,Sham,Martens-77-HFD7-60,D60,4.220501651,9,95.40910247,4.055330027,84.44524192,5.298783889
7,Sham,Martens-77-HFD7-60,D60,4.220501651,6,95.84156267,4.733960449,84.44524192,5.298783889
7,Sham,Martens-77-HFD7-60,D60,4.220501651,3,93.66598184,0.664396743,84.44524192,5.298783889
7,Sham,Martens-77-HFD7-60,D60,4.220501651,7,93.93310947,3.956841819,84.44524192,5.298783889
7,Sham,Martens-77-HFD7-60,D60,4.220501651,2,89.09065878,0,84.44524192,5.298783889
7,Sham,Martens-77-HFD7-60,D60,4.220501651,5,93.9730964,3.074908545,84.44524192,5.298783889
8,TBI,Martens-06-HFD8-Pre-surgery,Pre,4.604216152,6,43.38713745,17.30549984,98.35221793,5.455075296
8,TBI,Martens-06-HFD8-Pre-surgery,Pre,4.604216152,5,43.14671066,12.88254793,98.35221793,5.455075296
8,TBI,Martens-06-HFD8-Pre-surgery,Pre,4.604216152,8,61.3993391,12.02016219,98.35221793,5.455075296
8,TBI,Martens-06-HFD8-Pre-surgery,Pre,4.604216152,7,53.41251043,17.55971758,98.35221793,5.455075296
8,TBI,Martens-06-HFD8-Pre-surgery,Pre,4.604216152,2,69.32948814,4.170559772,98.35221793,5.455075296
8,TBI,Martens-06-HFD8-Pre-surgery,Pre,4.604216152,3,61.07314657,21.28941584,98.35221793,5.455075296
8,TBI,Martens-06-HFD8-Pre-surgery,Pre,4.604216152,4,42.64607615,21.86671145,98.35221793,5.455075296
8,TBI,Martens-06-HFD8-Pre-surgery,Pre,4.604216152,9,55.74068034,12.14850289,98.35221793,5.455075296
8,TBI,Martens-06-HFD8-Pre-surgery,Pre,4.604216152,10,53.66610972,6.53493242,98.35221793,5.455075296
8,TBI,Martens-30-HFD8-3,D3,3.920878903,6,43.38713745,17.30549984,98.35221793,5.455075296
8,TBI,Martens-30-HFD8-3,D3,3.920878903,5,43.14671066,12.88254793,98.35221793,5.455075296
8,TBI,Martens-30-HFD8-3,D3,3.920878903,8,61.3993391,12.02016219,98.35221793,5.455075296
8,TBI,Martens-30-HFD8-3,D3,3.920878903,7,53.41251043,17.55971758,98.35221793,5.455075296
8,TBI,Martens-30-HFD8-3,D3,3.920878903,2,69.32948814,4.170559772,98.35221793,5.455075296
8,TBI,Martens-30-HFD8-3,D3,3.920878903,3,61.07314657,21.28941584,98.35221793,5.455075296
8,TBI,Martens-30-HFD8-3,D3,3.920878903,4,42.64607615,21.86671145,98.35221793,5.455075296
8,TBI,Martens-30-HFD8-3,D3,3.920878903,9,55.74068034,12.14850289,98.35221793,5.455075296
8,TBI,Martens-30-HFD8-3,D3,3.920878903,10,53.66610972,6.53493242,98.35221793,5.455075296
8,TBI,Martens-54-HFD8-30,D30,4.549310249,6,43.38713745,17.30549984,98.35221793,5.455075296
8,TBI,Martens-54-HFD8-30,D30,4.549310249,5,43.14671066,12.88254793,98.35221793,5.455075296
8,TBI,Martens-54-HFD8-30,D30,4.549310249,8,61.3993391,12.02016219,98.35221793,5.455075296
8,TBI,Martens-54-HFD8-30,D30,4.549310249,7,53.41251043,17.55971758,98.35221793,5.455075296
8,TBI,Martens-54-HFD8-30,D30,4.549310249,2,69.32948814,4.170559772,98.35221793,5.455075296
8,TBI,Martens-54-HFD8-30,D30,4.549310249,3,61.07314657,21.28941584,98.35221793,5.455075296
8,TBI,Martens-54-HFD8-30,D30,4.549310249,4,42.64607615,21.86671145,98.35221793,5.455075296
8,TBI,Martens-54-HFD8-30,D30,4.549310249,9,55.74068034,12.14850289,98.35221793,5.455075296
8,TBI,Martens-54-HFD8-30,D30,4.549310249,10,53.66610972,6.53493242,98.35221793,5.455075296
8,TBI,Martens-78-HFD8-60,D60,4.600156849,6,43.38713745,17.30549984,98.35221793,5.455075296
8,TBI,Martens-78-HFD8-60,D60,4.600156849,5,43.14671066,12.88254793,98.35221793,5.455075296
8,TBI,Martens-78-HFD8-60,D60,4.600156849,8,61.3993391,12.02016219,98.35221793,5.455075296
8,TBI,Martens-78-HFD8-60,D60,4.600156849,7,53.41251043,17.55971758,98.35221793,5.455075296
8,TBI,Martens-78-HFD8-60,D60,4.600156849,2,69.32948814,4.170559772,98.35221793,5.455075296
8,TBI,Martens-78-HFD8-60,D60,4.600156849,3,61.07314657,21.28941584,98.35221793,5.455075296
8,TBI,Martens-78-HFD8-60,D60,4.600156849,4,42.64607615,21.86671145,98.35221793,5.455075296
8,TBI,Martens-78-HFD8-60,D60,4.600156849,9,55.74068034,12.14850289,98.35221793,5.455075296
8,TBI,Martens-78-HFD8-60,D60,4.600156849,10,53.66610972,6.53493242,98.35221793,5.455075296
9,TBI,Martens-07-HFD9-Pre-surgery,Pre,4.098939117,3,12.81978929,1.55928819,84.31565514,1.445686166
9,TBI,Martens-07-HFD9-Pre-surgery,Pre,4.098939117,6,1.014713343,7.056363265,84.31565514,1.445686166
9,TBI,Martens-07-HFD9-Pre-surgery,Pre,4.098939117,5,0.870138381,2.949136959,84.31565514,1.445686166
9,TBI,Martens-07-HFD9-Pre-surgery,Pre,4.098939117,10,3.235653236,10.95256791,84.31565514,1.445686166
9,TBI,Martens-07-HFD9-Pre-surgery,Pre,4.098939117,4,1.794946704,0.435190765,84.31565514,1.445686166
9,TBI,Martens-07-HFD9-Pre-surgery,Pre,4.098939117,7,2.939262961,8.837081111,84.31565514,1.445686166
9,TBI,Martens-07-HFD9-Pre-surgery,Pre,4.098939117,2,22.67806126,0.475040258,84.31565514,1.445686166
9,TBI,Martens-07-HFD9-Pre-surgery,Pre,4.098939117,9,0,9.7959818,84.31565514,1.445686166
9,TBI,Martens-07-HFD9-Pre-surgery,Pre,4.098939117,8,1.142664613,8.271935775,84.31565514,1.445686166
9,TBI,Martens-31-HFD9-3,D3,2.424394396,3,12.81978929,1.55928819,84.31565514,1.445686166
9,TBI,Martens-31-HFD9-3,D3,2.424394396,6,1.014713343,7.056363265,84.31565514,1.445686166
9,TBI,Martens-31-HFD9-3,D3,2.424394396,5,0.870138381,2.949136959,84.31565514,1.445686166
9,TBI,Martens-31-HFD9-3,D3,2.424394396,10,3.235653236,10.95256791,84.31565514,1.445686166
9,TBI,Martens-31-HFD9-3,D3,2.424394396,4,1.794946704,0.435190765,84.31565514,1.445686166
9,TBI,Martens-31-HFD9-3,D3,2.424394396,7,2.939262961,8.837081111,84.31565514,1.445686166
9,TBI,Martens-31-HFD9-3,D3,2.424394396,2,22.67806126,0.475040258,84.31565514,1.445686166
9,TBI,Martens-31-HFD9-3,D3,2.424394396,9,0,9.7959818,84.31565514,1.445686166
9,TBI,Martens-31-HFD9-3,D3,2.424394396,8,1.142664613,8.271935775,84.31565514,1.445686166
9,TBI,Martens-55-HFD9-30,D30,4.681793759,3,12.81978929,1.55928819,84.31565514,1.445686166
9,TBI,Martens-55-HFD9-30,D30,4.681793759,6,1.014713343,7.056363265,84.31565514,1.445686166
9,TBI,Martens-55-HFD9-30,D30,4.681793759,5,0.870138381,2.949136959,84.31565514,1.445686166
